epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3238,1.09049,2.02639,1.44992,0.59853,0.53423,0.33597,0.2799,0.61441,2.65098,1.08051,0.000298849,0.000298849,0.000298849
2,66.7531,1.06101,1.64459,1.39599,0.27421,0.46913,0.34564,0.30228,0.58559,3.81761,1.08854,0.000595891,0.000595891,0.000595891
3,98.9064,1.0615,1.47734,1.38728,0.28855,0.63661,0.41232,0.26129,1.31825,2.14659,1.57925,0.000886933,0.000886933,0.000886933
4,131.008,1.07559,1.34457,1.36783,0.50661,0.60319,0.66273,0.52358,0.8474,1.79925,1.30254,0.000882003,0.000882003,0.000882003
5,163.271,1.08498,1.27821,1.37172,0.60936,0.51735,0.55275,0.44041,0.72459,1.86927,1.20966,0.000873004,0.000873004,0.000873004
6,195.657,1.03466,1.21726,1.34176,0.77885,0.68861,0.78016,0.64301,0.7842,1.41747,1.2492,0.000864004,0.000864004,0.000864004
7,227.873,0.99727,1.15121,1.31218,0.64351,0.69591,0.71696,0.59048,0.69553,1.32668,1.18311,0.000855005,0.000855005,0.000855005
8,259.876,1.01101,1.0973,1.31797,0.72478,0.71662,0.79765,0.63102,0.84718,1.29998,1.36257,0.000846006,0.000846006,0.000846006
9,291.969,0.98059,1.07255,1.30032,0.87503,0.62631,0.75456,0.65482,0.58964,1.64597,1.08821,0.000837007,0.000837007,0.000837007
10,324.157,0.95592,0.98838,1.28318,0.6774,0.78705,0.81928,0.69521,0.70043,1.24113,1.15092,0.000828008,0.000828008,0.000828008
11,355.823,0.94763,0.95275,1.26516,0.72663,0.64178,0.7314,0.62611,0.59863,1.68606,1.08783,0.000819009,0.000819009,0.000819009
12,387.674,0.93129,0.94455,1.26322,0.6666,0.62246,0.62991,0.54615,0.633,2.00587,1.1028,0.00081001,0.00081001,0.00081001
13,420.664,0.93622,0.94862,1.25635,0.77226,0.6284,0.77371,0.67835,0.49672,1.38014,1.00456,0.000801011,0.000801011,0.000801011
14,452.857,0.89163,0.87728,1.2327,0.85068,0.63282,0.76802,0.6541,0.63437,1.63092,1.11702,0.000792012,0.000792012,0.000792012
15,485.21,0.89917,0.86139,1.23782,0.70775,0.59532,0.65221,0.57125,0.55563,1.41723,1.05774,0.000783013,0.000783013,0.000783013
16,516.998,0.88661,0.84485,1.2297,0.76067,0.76026,0.86018,0.75983,0.57913,1.16032,1.07089,0.000774013,0.000774013,0.000774013
17,548.932,0.88348,0.83446,1.23072,0.81557,0.64869,0.7758,0.68937,0.52519,1.41578,1.04372,0.000765014,0.000765014,0.000765014
18,580.901,0.87572,0.81259,1.22654,0.81293,0.80832,0.8788,0.78183,0.50136,1.038,1.02831,0.000756015,0.000756015,0.000756015
19,612.644,0.84878,0.80203,1.20147,0.79893,0.68247,0.78195,0.67232,0.617,1.32467,1.09323,0.000747016,0.000747016,0.000747016
20,644.912,0.84931,0.79299,1.19929,0.76409,0.74743,0.84186,0.74356,0.59375,0.96846,1.07599,0.000738017,0.000738017,0.000738017
21,676.927,0.84072,0.75288,1.2005,0.66993,0.77835,0.81778,0.69303,0.65782,1.20331,1.0968,0.000729018,0.000729018,0.000729018
22,708.733,0.85129,0.74871,1.20443,0.76514,0.62053,0.64882,0.56725,0.56202,1.60725,1.04715,0.000720019,0.000720019,0.000720019
23,740.404,0.82531,0.7202,1.18254,0.74892,0.73856,0.81083,0.72854,0.52649,1.16562,1.0322,0.00071102,0.00071102,0.00071102
24,772.152,0.83591,0.74892,1.19657,0.828,0.64669,0.78165,0.69133,0.52766,1.53835,1.01744,0.000702021,0.000702021,0.000702021
25,804.25,0.82986,0.71592,1.18735,0.77277,0.7444,0.89022,0.77903,0.62095,1.016,1.07131,0.000693022,0.000693022,0.000693022
26,835.75,0.80969,0.71211,1.18098,0.69605,0.79022,0.79144,0.70782,0.50681,1.12399,1.01668,0.000684022,0.000684022,0.000684022
27,868.314,0.8043,0.70269,1.1652,0.7699,0.75048,0.82339,0.74923,0.47028,1.10566,0.96973,0.000675023,0.000675023,0.000675023
28,900.863,0.81234,0.70986,1.18197,0.76592,0.74964,0.83798,0.75772,0.49705,0.97176,0.97879,0.000666024,0.000666024,0.000666024
29,932.562,0.78935,0.68521,1.16644,0.76974,0.64837,0.74209,0.66411,0.52561,1.15571,1.04924,0.000657025,0.000657025,0.000657025
30,964.27,0.79669,0.68163,1.16864,0.79821,0.69302,0.78573,0.70438,0.47752,1.17552,0.97739,0.000648026,0.000648026,0.000648026
31,996.088,0.76918,0.671,1.15687,0.84886,0.66492,0.84235,0.76685,0.53625,1.23355,1.04199,0.000639027,0.000639027,0.000639027
32,1028.56,0.78924,0.65971,1.16165,0.85105,0.73853,0.88572,0.8037,0.56322,1.06375,1.08506,0.000630028,0.000630028,0.000630028
33,1060.56,0.77325,0.66249,1.16364,0.8121,0.81634,0.89763,0.80927,0.52852,0.88538,1.03241,0.000621029,0.000621029,0.000621029
