epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6496,1.05625,3.11672,1.47359,0.45626,0.27012,0.36047,0.27739,0.87437,2.63286,1.34118,0.000235836,0.000235836,0.000235836
2,108.122,1.03825,2.11557,1.42578,0.54638,0.34795,0.4091,0.29014,1.03155,2.44283,1.48759,0.000471491,0.000471491,0.000471491
3,158.37,1.02375,1.82286,1.39189,0.54648,0.49818,0.46174,0.37312,0.86111,2.16616,1.33281,0.000704789,0.000704789,0.000704789
4,208.861,1.00949,1.67214,1.37298,0.54206,0.53289,0.57537,0.45973,0.90869,2.10843,1.37458,0.000703397,0.000703397,0.000703397
5,259.567,0.98702,1.50502,1.34242,0.41663,0.66441,0.55636,0.47658,0.78746,2.12396,1.27662,0.000699863,0.000699863,0.000699863
6,310.222,0.96284,1.39714,1.31793,0.65546,0.59309,0.63945,0.53733,0.79266,1.87087,1.26286,0.000696328,0.000696328,0.000696328
7,360.791,0.92943,1.34609,1.29507,0.44935,0.70572,0.6414,0.5527,0.7654,1.76831,1.24227,0.000692794,0.000692794,0.000692794
8,411.253,0.92785,1.27213,1.28588,0.77407,0.74518,0.83809,0.70634,0.76161,1.27581,1.23339,0.00068926,0.00068926,0.00068926
9,461.456,0.88691,1.15604,1.26376,0.7865,0.63285,0.79383,0.68548,0.826,1.43641,1.28853,0.000685726,0.000685726,0.000685726
10,512.813,0.89385,1.14037,1.26111,0.69826,0.79973,0.83721,0.71804,0.77394,1.30299,1.25612,0.000682191,0.000682191,0.000682191
11,563.771,0.86836,1.06242,1.2543,0.82943,0.63038,0.82144,0.71363,0.79367,1.39747,1.24758,0.000678657,0.000678657,0.000678657
12,614.307,0.85148,1.04448,1.22954,0.73712,0.80523,0.87393,0.76208,0.79919,1.12515,1.2589,0.000675123,0.000675123,0.000675123
